Authors,Title,Year,Abstract,Cited by
Radakovich N.; Nagy M.; Nazha A.,Machine learning in haematological malignancies,2020,"Machine learning is a branch of computer science and statistics that generates predictive or descriptive models by learning from training data rather than by being rigidly programmed. It has attracted substantial attention for its many applications in medicine, both as a catalyst for research and as a means of improving clinical care across the cycle of diagnosis, prognosis, and treatment of disease. These applications include the management of haematological malignancy, in which machine learning has created inroads in pathology, radiology, genomics, and the analysis of electronic health record data. As computational power becomes cheaper and the tools for implementing machine learning become increasingly democratised, it is likely to become increasingly integrated into the research and practice landscape of haematology. As such, machine learning merits understanding and attention from researchers and clinicians alike. This narrative Review describes important concepts in machine learning for unfamiliar readers, details machine learning's current applications in haematological malignancy, and summarises important concepts for clinicians to be aware of when appraising research that uses machine learning. © 2020 Elsevier Ltd",107.0
Dalvi P.T.; Gawas M.A.,A comprehensive review of machine learning approaches for detecting anemia and abnormal red blood cells using RBC indices and medical imaging,2026,"Anemia affects more than one billion people globally. It is caused by low hemoglobin levels resulting from iron or vitamin deficiencies, blood loss or genetic conditions like sickle cell anemia and thalassemia. Anemia diagnosis is challenging due to costly blood tests, lack of medical personnel and limited infrastructure especially in rural areas. Machine learning models can analyze the records of complete blood count and images of blood smears, eye conjunctiva, lip mucosa, fingernails, and palms for anemia detection, and therefore eliminate the need for expert healthcare professionals. This study reviews artificial intelligence techniques to diagnose three types of anemia: iron deficiency, sickle cell disease and thalassemia. For each type of anemia, we have compared machine learning, deep learning, optimization algorithms, hybrid algorithms and other techniques in terms of accuracy, key features, research gaps and future scope. We have also assessed the dataset sizes and their sources used in these studies to explore any correlation with models accuracy. Artificial intelligence can be integrated into real-time anemia diagnosis as it offers non-invasive, quick, affordable and accurate solution with explainable AI techniques to enhance physicians trust and usability particularly in remote areas. However, traditional invasive tests, such as the complete blood count and peripheral blood smear examinations are still the preferred choices for accurate anemia diagnosis, despite being time-intensive, labor-intensive, and requiring medical expertise. Integrating AI into these invasive diagnostic methods can still be highly useful, as it can reduce the burden on healthcare professionals and help them in diagnostic confirmation. © The Author(s) 2025.",
Scala A.; Trunfio T.A.; Improta G.,The classification algorithms to support the management of the patient with femur fracture,2024,"Effectiveness in health care is a specific characteristic of each intervention and outcome evaluated. Especially with regard to surgical interventions, organization, structure and processes play a key role in determining this parameter. In addition, health care services by definition operate in a context of limited resources, so rationalization of service organization becomes the primary goal for health care management. This aspect becomes even more relevant for those surgical services for which there are high volumes. Therefore, in order to support and optimize the management of patients undergoing surgical procedures, the data analysis could play a significant role. To this end, in this study used different classification algorithms for characterizing the process of patients undergoing surgery for a femoral neck fracture. The models showed significant accuracy with values of 81%, and parameters such as Anaemia and Gender proved to be determined risk factors for the patient’s length of stay. The predictive power of the implemented model is assessed and discussed in view of its capability to support the management and optimisation of the hospitalisation process for femoral neck fracture, and is compared with different model in order to identify the most promising algorithms. In the end, the support of artificial intelligence algorithms laying the basis for building more accurate decision-support tools for healthcare practitioners. © The Author(s) 2024.",
Awasthi A.K.; Sharma M.; Garo A.K.; Chaudhary P.,Presentation of futuristic Malarial Disease through a Hybrid Model of A.I. and Big data,2023,"Transmission of parasites of female Anopheles mosquito is a major cause for the fatal disease like Malaria and most common symptoms are high fever, headache, abdominal pain, muscle pain, vomiting, diarrhea, Anemia, etc.Healthcare is a field where Forecasting is most beneficial and helpful for the cure of diseases and it can be possible only by using models of Neural Networks, Regression, and LSTM for predicting that how many confirmed cases will occur, how many people will get recovered and among them how many get dead cause of any disease based on past and present data for forecasting the future trend of these cases. Even though forecasting can be done by traditional methods but traditional methods are time consuming. The machine learning techniques are fast and accurate then also for adding efficiency and accuracy to these methods and techniques, Artificial Intelligence takes place in the field of Data Sciences. Artificial Intelligence came into the picture 100 years ago and shows remarkable growth in every field in the past few years. There are a lot of models proposed for different types of diseases in the field of healthcare. The visible patterns of symptoms and cases related to the disease can help in the medical field to prevent and cure it. This work is going to deal with the applications of Artificial Intelligence in Data Sciences which is to make an early reliable prediction of Malarial disease using Neural Networks, Regression, and LSTM model. It Compares the trends of different models and comparative results will demonstrate that the machine learning techniques practiced to forecast the malarial disease along with visible patterns gives information related to the patient's data.  © 2023 IEEE.",1.0
Ahmad² M.,"Artificial intelligence and big data applications in chronic disease management: clinical outcomes, challenges, and future directions",2026,"Aim To synthesize applications of Artificial Intelligence (AI) and big data in chronic disease management, evaluate clinical and economic outcomes, challenges, and future directions. Methods A comprehensive search was conducted across PubMed, Scopus, Web of Science, IEEE Xplore, and CINAHL for studies published between 2015-2025, following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines. This review was registered in PROSPERO (CRD420251036828). Inclusion criteria encompassed peer-reviewed empirical, narrative, and systematic studies focusing on AI and big data in chronic disease care. Twelve studies were appraised using validated appraisal tools appropriate to each study design, which were conducted across clinical, technological and public health settings, reflecting application of AI and big data in hospital, digital health platform and disease management. Results AI models achieved predictive accuracies between 88-96% across diabetes, chronic kidney disease (CKD), chronic obstructive pulmonary disease (COPD), and cardiovascular conditions. Outcomes included a 25% reduction in readmissions, a 30% decrease in CKD progression, and a 25% improvement in treatment adherence. Technologies included machine learning, electronic health record integration, wearable devices, and multi-omics platforms. Major challenges identified were data fragmentation, bias, and regulatory gaps. Conclusion The Artificial intelligence and big data offer transformative potential for chronic disease management from early prediction to personalized treatment, but realizing this requires addressing data fragmentation, ethical and privacy concerns, and ensuring equity and accountability through transparent, explainable AI. © 2026, Medical Association of Zenica-Doboj Canton. All rights reserved.",
Lee S.; Reddy Mudireddy A.; Kumar Pasupula D.; Adhaduk M.; Barsotti E.J.; Sonka M.; Statz G.M.; Bullis T.; Johnston S.L.; Evans A.Z.; Olshansky B.; Gebska M.A.,Novel Machine Learning Approach to Predict and Personalize Length of Stay for Patients Admitted with Syncope from the Emergency Department,2023,"Background: Syncope, a common problem encountered in the emergency department (ED), has a multitude of causes ranging from benign to life-threatening. Hospitalization may be required, but the management can vary substantially depending on specific clinical characteristics. Models predicting admission and hospitalization length of stay (LoS) are lacking. The purpose of this study was to design an effective, exploratory model using machine learning (ML) technology to predict LoS for patients presenting with syncope. Methods: This was a retrospective analysis using over 4 million patients from the National Emergency Department Sample (NEDS) database presenting to the ED with syncope between 2016–2019. A multilayer perceptron neural network with one hidden layer was trained and validated on this data set. Results: Receiver Operator Characteristics (ROC) were determined for each of the five ANN models with varying cutoffs for LoS. A fair area under the curve (AUC of 0.78) to good (AUC of 0.88) prediction performance was achieved based on sequential analysis at different cutoff points, starting from the same day discharge and ending at the longest analyzed cutoff LoS ≤7 days versus >7 days, accordingly. The ML algorithm showed significant sensitivity and specificity in predicting short (≤48 h) versus long (>48 h) LoS, with an AUC of 0.81. Conclusions: Using variables available to triaging ED clinicians, ML shows promise in predicting hospital LoS with fair to good performance for patients presenting with syncope. © 2022 by the authors.",17.0
Venkatakrishnan K.; Jayachandran P.; Seo S.K.; van der Graaf P.H.; Wagner J.A.; Gupta N.,Moving the needle for oncology dose optimization: A call for action,2024,[No abstract available],
Saputra D.C.E.; Sunat K.; Ratnaningsih T.; Ma'arif A.; Suwarno I.,SmartForest: Optimizing anemia diagnosis with enhanced random forest and XGBoost integration,2025,"This study addresses the challenges in healthcare classification, focusing specifically on the diagnosis of anemia. It introduces SmartForest, a novel ensemble model that integrates Random Forest, XGBoost, and sea horse optimization techniques to enhance both accuracy and interpretability. By incorporating explainable artificial intelligence (AI) through SHAP analysis, the model aims to support transparency and trust in clinical decision-making, thereby contributing to improved patient outcomes. SmartForest leverages a soft voting mechanism to aggregate the probability estimates from both ensemble learners, ensuring balanced and interpretable predictions. The sea horse optimization algorithm is employed to determine the optimal number and depth of trees, facilitating robust performance across diverse medical datasets. Experimental results demonstrate that SmartForest outperforms traditional models across multiple evaluation metrics. On the anemia dataset, it achieves an accuracy of 0.9882, precision of 0.9809, recall of 0.9939, and F1-score of 0.9872. The model also exhibits strong discriminatory power with a ROC-AUC of 0.9982, and produces minimal prediction error, reflected by a low MSE of 0.0118 and RMSE of 0.0799. While the average prediction time is slightly higher at 0.2501 seconds, this is a reasonable trade-off given the model's superior performance. The objective of this work was to improve anemia diagnosis using machine learning models, with SmartForest demonstrating the most promising results. Future research directions include expanding the dataset to include more diverse patient populations, integrating the model into real-world clinical decision support systems, enhancing model explainability, and exploring its applicability to other medical conditions. Ethical considerations surrounding data privacy and clinical deployment should also be addressed in future studies. © 2025 The Author(s)",
Flohe S.,SHOCK SYNOPSIS JULY 2025,2025,[No abstract available],
Zhang X.,"A hybrid AI model integrating XGBoost, LSTM, and SHAP for predicting and interpreting childhood malnutrition trends",2025,"This research work introduces a hybrid AI model comprising XGBoost for static prediction, LSTM networks for temporal forecasting, and SHAP for interpretable explainability. One of the major public health issues is retention in childhood malnutrition, especially in preschool children, which greatly impacts their growth, cognitive development and health conditions later in life. The conventional methods, based on descriptive statistical analysis and basic machine learning approaches, mainly utilise static predictors to classify malnutrition cases. Such practices tend to overlook the changes over time and do not offer any explanation, leading to their limited applications in preventive measure interactions. The model not only considers the current nutritional status but also predicts future trends by identifying important demographic and dietary components that underlie the predictions. The AI framework suggested produced 98.86% accuracy, AUC = 0.991, and RMSE = 0.082 when validated on CHNS data, which was significantly greater than the performance of Logistic Model Trees (91–95%) and Random Forests (94–98.6%), resulting in up to a 4.1% improvement. It thus confirmed the model's outstanding predictive capability. In contrast to previous works that were merely concerned with malnutrition type or anaemia classification, the present approach guarantees both accuracy and usability by integrating temporal prediction with Explainable AI. Consequently, the integration of predictive modelling with practical policy implications enables the early identification of children at risk and the implementation of targeted interventions, thereby providing a scalable and evidence-based contribution to childhood nutrition research. The combined model achieved an accuracy of 98.86%, an F1 score of 0.988, and an AUC of 0.991, which are extremely high values for predicting and highlighting the practicality of early detection and intervention in childhood malnutrition. © The Author(s) 2025",
"Németh Á.; Tóth G.; Fülöp P.; Paragh G.; Nádró B.; Karányi Z.; Paragh G., Jr; Horváth Z.; Csernák Z.; Pintér E.; Sándor D.; Bagyó G.; Édes I.; Kappelmayer J.; Harangi M.; Daróczy B.",Smart medical report: efficient detection of common and rare diseases on common blood tests,2024,"Introduction: The integration of AI into healthcare is widely anticipated to revolutionize medical diagnostics, enabling earlier, more accurate disease detection and personalized care. Methods: In this study, we developed and validated an AI-assisted diagnostic support tool using only routinely ordered and broadly available blood tests to predict the presence of major chronic and acute diseases as well as rare disorders. Results: Our model was tested on both retrospective and prospective datasets comprising over one million patients. We evaluated the diagnostic performance by (1) implementing ensemble learning (mean ROC-AUC.9293 and mean DOR 63.96); (2) assessing the model's sensitivity via risk scores to simulate its screening effectiveness; (3) analyzing the potential for early disease detection (30–270 days before clinical diagnosis) through creating historical patient timelines and (4) conducting validation on real-world clinical data in collaboration with Synlab Hungary, to assess the tool's performance in clinical setting. Discussion: Uniquely, our model not only considers stable blood values but also tracks changes from baseline across 15 years of patient history. Our AI-driven automated diagnostic tool can significantly enhance clinical practice by recognizing patterns in common and rare diseases, including malignancies. The models' ability to detect diseases 1–9 months earlier than traditional clinical diagnosis could contribute to reduced healthcare costs and improved patient outcomes. The automated evaluation also reduces evaluation time of healthcare providers, which accelerates diagnostic processes. By utilizing only routine blood tests and ensemble methods, the tool demonstrates high efficacy across independent laboratories and hospitals, making it an exceptionally valuable screening resource for primary care physicians. 2024 Németh, Tóth, Fülöp, Paragh, Nádró, Karányi, Paragh, Horváth, Csernák, Pintér, Sándor, Bagyó, Édes, Kappelmayer, Harangi and Daróczy.",
Abukhadijah H.J.; Nashwan A.J.,Would Artificial Intelligence Improve the Quality of Care of Patients With Rare Diseases?,2024,[No abstract available],
Cárdenas-Isla H.; Márquez B.Y.; Robles-Gallego A.; Magdaleno-Palencia J.S.,Human-Machine Interface Based on Electromyographic (EMG) Signals Aimed at Limb Rehabilitation for Diabetic Patients,2024,"Diabetes is a condition derived from high blood sugar levels for a prolonged period. Which triggers several complications such as anemia, blindness, erectile dysfunction, cardiovascular problems, high blood pressure, poor circulation, and a high probability of gangrene when there is a skin cut on an extremity where the most viable solution to risks is go septicemia or blood poisoning by pathogens generated by dead tissue is amputation of the limb. For such patients, where the limb amputation has already been carried out, tailored solutions are generated with the corresponding rehabilitation by learning to use this new tool to give them independence and inclusivity in their daily lives. Now, technology such as electromyographic sensors is required to read the electrical pulses generated by the muscles and then with artificial intelligence learn to interpret the electrical signals from the muscles of the patient's amputated limb. The main objective of this literature is to relate and obtain a prediction of the diabetes risk index of the general population, based on the incidence data of diabetic disease obtained by delegation in the United States, Mexico. -us through public health institutions. For the above, the prediction will be carried out by a multilayer perceptron neural network and an exploration of human-robot interface (HRI) solutions supported by electromyographic sensors will be carried out. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",
Garg A.; Valera M.Á.; Meseguer M.,EVALUATION OF EMBRYO QUALITY: Time-Lapse Imaging to Assess Embryo Morphokinesis,2023,"In vitro fertilization (IVF) programs are coming closer every day to the goal of reducing multiple pregnancies while maintaining good clinical results. The transfer of a single embryo progressively became a reality specifically in developed countries, and this is the result of major improvements in different areas. From a clinical point of view, two major achievements are worth mentioning: first, physicians have learned to handle the stimulation drugs that are purer, more powerful, and more comfortable for the patient; and, second, an increased knowledge of the pathophysiology of ovarian hyperstimulation syndrome has made the frequency of this syndrome almost anecdotal. On the other hand, concerns about the “epidemic” of multiple gestations have raised awareness of the risks not only to the mother (gestational diabetes, hypertension, and anaemia) but also to the babies-extreme prematurity, low birth weight, children with neurological damage, and so on-not to mention the psychological burden and suffering of the parents and the tremendous health costs that it entails. From the laboratory point of view, several achievements are worth mentioning as well: studies on embryo metabolism have led to the formulation of suitable culture media. In the early 1990s, the introduction of intracytoplasmic sperm injection (ICSI) revolutionized the treatment of male infertility and genetic screening became the gold standard for the selection of aneuploid embryos. Vitrification came along, and preservation of fertility was no longer a utopia for modern women; the wave of the “omics” initiated an era of non-invasiveness for studying human embryos in the laboratory, and most recently in the last decade, the introduction of imaging systems, artificial intelligence (AI), and machine learning allowed us to assess embryos in a different way: through their morphokinetics and analysis of images and video captured during the early embryonic development. © 2024 selection and editorial matter, David K. Gardner, Ariel Weissman, Colin M. Howles, and Zeev Shoham; individual chapters, the contributors.",3.0
Clement David-Olawade A.; Ogunbona M.A.; Olawuyi O.F.; Makanjuola B.D.; Alabi J.O.; Olawade D.B.,"Artificial intelligence and machine learning applications in dialysis: Current applications, challenges, and future directions",2026,"Artificial intelligence (AI) and machine learning (ML) applications have emerged as transformative technologies in nephrology, particularly in dialysis care. The availability of multimodal datasets including electronic health records, hemodialysis machine data, laboratory values, and imaging has enabled the development of sophisticated prognostic, diagnostic, and treatment support tools. This comprehensive review narratively examines current AI/ML applications in dialysis, evaluates their clinical performance, and identifies future research directions. We conducted a comprehensive literature search of PubMed, Web of Science, and other major databases from 2020 to 2025, focusing on peer-reviewed studies that employed AI/ML techniques in dialysis care. Studies were categorised by application domain and analysed for methodology, performance metrics, and clinical implications. Our analysis identified five major application domains: (1) prediction and prognosis, including intradialytic hypotension (IDH) prediction with AUROC values ranging 0.89–0.95, mortality prediction achieving C-indices up to 0.83, and hospitalisation risk assessment; (2) early detection of chronic kidney disease (CKD) progression and dialysis risk; (3) clinical decision support for anaemia management and treatment optimisation; (4) vascular access monitoring with AI-driven image analysis achieving AUROC ≈ 0.96; and (5) natural language processing (NLP) applications for symptom detection. Federated learning (FL) approaches are emerging to enable multi-centre collaboration while preserving data privacy. AI/ML technologies demonstrate significant promise in enhancing dialysis care through improved prediction accuracy, personalised treatment approaches, and clinical decision support. However, widespread clinical adoption remains limited due to challenges including data privacy concerns, model interpretability issues, regulatory complexity, and the need for diverse, representative datasets. © 2026 The Author(s).",
